k,threshold,density,avg_clustering,modularity,min_dist_mean,mean_dist_mean,duplication_rate,num_edges
5,0.3,0.006095419587558702,0.06788848841271784,0.47343161081208884,0.106076315,0.40322867,0.0,13434
5,0.5,0.006095419587558702,0.06785489680203184,0.47088360588980405,0.10576397,0.40215218,0.0,13434
5,0.7,0.006095419587558702,0.06782783898368314,0.4746731770634985,0.1064437,0.4044677,0.0,13434
10,0.3,0.006322284988316432,0.06876250715687471,0.4676341276994295,0.10668362,0.40407953,0.0,13934
10,0.5,0.006322284988316432,0.0688299137628035,0.46909827318235214,0.10681121,0.40328515,0.0,13934
10,0.7,0.006322284988316432,0.06878896695368432,0.46521533557237127,0.10649046,0.40383938,0.0,13934
20,0.3,0.006776015789831892,0.07089754563469038,0.45825557172488823,0.106181294,0.40292454,0.0,14934
20,0.5,0.006776015789831892,0.07090877234564466,0.46086110035286953,0.106446736,0.40273285,0.0,14934
20,0.7,0.006776015789831892,0.07091095145835248,0.4604850131129766,0.10716479,0.40322208,0.0,14934
