Method,MinDist_Mean,MinDist_Std,MeanDist_Mean,DuplicationRate,NoveltyPct_Threshold
AGN,0.00016781329759396613,0.0001507653360022232,0.03655219078063965,0.0,75.0
kNN,0.04510110860414633,0.04622896942523577,0.15814217696618735,0.0,75.0
VanillaVGAE,0.00019622445688582957,0.00021948112407699227,0.036707598716020584,0.0,75.0
