Node_Index,Min_Distance_to_Original,Mean_Distance_to_Original,Max_Distance_to_Original,Min_Distance_to_Generated,Mean_Distance_to_Generated,Novelty_Score,Is_Novel
0,0.0012712478637695312,0.02991652861237526,0.3222944736480713,0.00042748451232910156,inf,1.691954255104065,True
1,0.0006186366081237793,0.026626713573932648,0.31402814388275146,4.881620407104492e-05,inf,0.8233680129051208,True
2,0.00043082237243652344,0.026895135641098022,0.3227430582046509,0.0002465248107910156,inf,0.5733985900878906,True
3,0.0008934736251831055,0.02777763456106186,0.29723602533340454,0.0001156926155090332,inf,1.1891595125198364,True
4,0.0013780593872070312,0.028227556496858597,0.30550116300582886,9.876489639282227e-05,inf,1.8341139554977417,True
5,0.0005924105644226074,0.02675764262676239,0.3125636577606201,5.888938903808594e-05,inf,0.7884626984596252,True
6,0.00016617774963378906,0.026464788243174553,0.30874383449554443,1.4781951904296875e-05,inf,0.22117255628108978,False
7,9.393692016601562e-05,0.026570254936814308,0.3058716058731079,8.374452590942383e-05,inf,0.12502437829971313,False
8,0.0006820559501647949,0.02679753676056862,0.3256906270980835,0.0001519918441772461,inf,0.907775342464447,True
9,0.0002881288528442383,0.028513453900814056,0.2985702157020569,0.00025963783264160156,inf,0.3834821283817291,False
10,0.0012410879135131836,0.028343142941594124,0.2976818084716797,0.00011157989501953125,inf,1.6518131494522095,True
11,0.001545250415802002,0.02767093852162361,0.31060028076171875,0.00011706352233886719,inf,2.0566351413726807,True
12,0.0003402233123779297,0.026704877614974976,0.3155626058578491,5.799531936645508e-05,inf,0.4528166949748993,True
13,0.00040906667709350586,0.026144078001379967,0.3242671489715576,7.998943328857422e-05,inf,0.5444430708885193,True
14,0.000272214412689209,0.027200937271118164,0.3006492257118225,6.985664367675781e-05,inf,0.36230096220970154,False
15,0.0008525252342224121,0.027570175006985664,0.30112630128860474,4.869699478149414e-05,inf,1.1346596479415894,True
16,0.00012433528900146484,0.027357595041394234,0.30716055631637573,0.00016361474990844727,inf,0.1654827743768692,False
17,0.00048160552978515625,0.02632404863834381,0.32462942600250244,9.828805923461914e-05,inf,0.6409879326820374,True
18,0.00047338008880615234,0.02724822796881199,0.30539971590042114,0.0001595616340637207,inf,0.6300403475761414,True
19,6.35385513305664e-05,0.027069998905062675,0.3033381700515747,0.00014591217041015625,inf,0.08456598222255707,False
20,0.0020741820335388184,0.02885996550321579,0.3284723162651062,0.00010180473327636719,inf,2.760611057281494,True
21,0.0004361867904663086,0.026260554790496826,0.31798774003982544,7.998943328857422e-05,inf,0.5805383324623108,True
22,0.0012751221656799316,0.028674541041254997,0.3075535297393799,0.00010013580322265625,inf,1.697110652923584,True
23,0.000550389289855957,0.027041705325245857,0.3616828918457031,0.0009317398071289062,inf,0.7325349450111389,True
24,0.0007575750350952148,0.027734344825148582,0.29756468534469604,6.335973739624023e-05,inf,1.008286714553833,True
25,0.0017421245574951172,0.027460647746920586,0.32386529445648193,0.00014024972915649414,inf,2.318662643432617,True
26,0.0011997222900390625,0.028282660990953445,0.30567705631256104,9.97781753540039e-05,inf,1.5967580080032349,True
27,0.0011026859283447266,0.028389282524585724,0.3085327744483948,7.253885269165039e-05,inf,1.4676084518432617,True
28,0.0002232193946838379,0.027499444782733917,0.2945805788040161,0.00029659271240234375,inf,0.297091543674469,False
29,0.00021201372146606445,0.026205047965049744,0.3158743381500244,2.4437904357910156e-05,inf,0.28217747807502747,False
30,0.0004048943519592285,0.028391052037477493,0.2855563163757324,0.0002803206443786621,inf,0.5388899445533752,True
31,0.000553131103515625,0.02694258652627468,0.34477245807647705,0.0006616711616516113,inf,0.7361841201782227,True
32,0.00044590234756469727,0.026820257306098938,0.3085087537765503,3.9696693420410156e-05,inf,0.5934691429138184,True
33,0.0005977749824523926,0.026486750692129135,0.31737083196640015,4.881620407104492e-05,inf,0.7956024408340454,True
34,0.0005861520767211914,0.028631098568439484,0.2899865508079529,0.0001379251480102539,inf,0.780133068561554,True
35,0.0002065896987915039,0.02686551958322525,0.30406200885772705,3.701448440551758e-05,inf,0.27495843172073364,False
36,0.0017386078834533691,0.028619252145290375,0.32493728399276733,8.362531661987305e-05,inf,2.3139822483062744,True
37,0.00028455257415771484,0.02666989341378212,0.30693519115448,2.2351741790771484e-05,inf,0.37872231006622314,False
38,0.0005224943161010742,0.026148665696382523,0.3244982957839966,8.809566497802734e-05,inf,0.6954084038734436,True
39,0.0002741217613220215,0.026734400540590286,0.309594988822937,4.51207160949707e-05,inf,0.3648395240306854,False
40,0.0006574392318725586,0.026221400126814842,0.3270304203033447,7.534027099609375e-05,inf,0.8750119805335999,True
41,0.00024777650833129883,0.026724766939878464,0.3040516972541809,5.066394805908203e-05,inf,0.3297755718231201,False
42,0.00024574995040893555,0.027069587260484695,0.3030587434768677,5.65648078918457e-05,inf,0.32707837224006653,False
43,0.0011230707168579102,0.027033459395170212,0.3204305171966553,7.134675979614258e-05,inf,1.4947394132614136,True
44,0.0014339685440063477,0.027937790378928185,0.3039250373840332,0.00014084577560424805,inf,1.9085255861282349,True
45,0.00011366605758666992,0.026506373658776283,0.3066202998161316,1.5914440155029297e-05,inf,0.1512826681137085,False
46,0.0012905001640319824,0.02866894192993641,0.2972556948661804,0.00011241436004638672,inf,1.7175778150558472,True
47,0.0007519721984863281,0.02660573273897171,0.32740163803100586,0.0001087188720703125,inf,1.0008295774459839,True
48,0.000828087329864502,0.02733074501156807,0.30527257919311523,3.93986701965332e-05,inf,1.1021342277526855,True
49,0.00032514333724975586,0.026588458567857742,0.3097013235092163,3.701448440551758e-05,inf,0.43274617195129395,True
50,9.268522262573242e-05,0.025871722027659416,0.324576735496521,0.00012606382369995117,inf,0.12335844337940216,False
51,0.000914454460144043,0.02684977650642395,0.31777316331863403,6.002187728881836e-05,inf,1.2170836925506592,True
52,0.0006539821624755859,0.027426008135080338,0.311967670917511,0.0001214146614074707,inf,0.8704107999801636,True
53,0.00023752450942993164,0.027102436870336533,0.31264668703079224,5.799531936645508e-05,inf,0.31613078713417053,False
54,0.0006051063537597656,0.028496136888861656,0.28663820028305054,3.904104232788086e-05,inf,0.8053600788116455,True
55,0.0013837218284606934,0.027394045144319534,0.31373316049575806,9.626150131225586e-05,inf,1.8416502475738525,True
56,0.0009812116622924805,0.029867935925722122,0.2906106114387512,0.0003364086151123047,inf,1.3059334754943848,True
57,0.001044631004333496,0.026887621730566025,0.3193608522415161,9.065866470336914e-05,inf,1.390340805053711,True
58,0.0009263753890991211,0.02698271907866001,0.31446748971939087,9.196996688842773e-05,inf,1.2329497337341309,True
59,0.0013971328735351562,0.027826644480228424,0.3270161747932434,8.362531661987305e-05,inf,1.8594995737075806,True
60,0.0002681612968444824,0.026425611227750778,0.3150179386138916,0.00011199712753295898,inf,0.3569065034389496,False
61,0.00039780139923095703,0.027649568393826485,0.29338693618774414,6.860494613647461e-05,inf,0.5294496417045593,True
62,0.001066744327545166,0.028072619810700417,0.30759888887405396,0.00020563602447509766,inf,1.4197723865509033,True
63,0.0007743239402770996,0.027106020599603653,0.30671006441116333,8.106231689453125e-05,inf,1.0305784940719604,True
64,0.0028517842292785645,0.02853775955736637,0.34634697437286377,0.0004432201385498047,inf,3.7955527305603027,True
65,0.0011334419250488281,0.026823654770851135,0.33675140142440796,0.00021696090698242188,inf,1.508542776107788,True
66,0.0003044605255126953,0.02614480070769787,0.31890279054641724,3.2007694244384766e-05,inf,0.40521860122680664,True
67,0.0003517270088195801,0.026854487136006355,0.30512160062789917,4.51207160949707e-05,inf,0.46812742948532104,True
68,0.002076089382171631,0.0279197059571743,0.32484376430511475,0.00016695261001586914,inf,2.7631497383117676,True
69,0.00110703706741333,0.027167724445462227,0.321590781211853,7.957220077514648e-05,inf,1.4733995199203491,True
70,0.0012111663818359375,0.028615860268473625,0.3049076199531555,7.253885269165039e-05,inf,1.6119893789291382,True
71,0.0002338886260986328,0.028086071833968163,0.2854129672050476,0.00011169910430908203,inf,0.3112916648387909,False
72,0.0009229183197021484,0.02673395536839962,0.3335701823234558,0.00018674135208129883,inf,1.2283486127853394,True
73,9.965896606445312e-05,0.027861088514328003,0.2916271686553955,0.00014275312423706055,inf,0.132640078663826,False
74,0.0009203553199768066,0.0264373067766428,0.33006972074508667,7.534027099609375e-05,inf,1.2249374389648438,True
75,0.000526726245880127,0.02691372111439705,0.3098262548446655,5.263090133666992e-05,inf,0.7010408639907837,True
76,0.0009500980377197266,0.027664851397275925,0.30005478858947754,6.335973739624023e-05,inf,1.2645231485366821,True
77,0.0004547238349914551,0.027333734557032585,0.30519992113113403,5.435943603515625e-05,inf,0.60521000623703,True
78,0.0003879070281982422,0.028923815116286278,0.314516544342041,0.00042748451232910156,inf,0.5162808299064636,True
