Node_Index,Min_Distance_to_Original,Mean_Distance_to_Original,Max_Distance_to_Original,Min_Distance_to_Generated,Mean_Distance_to_Generated,Novelty_Score,Is_Novel
0,0.0003421306610107422,0.03954557329416275,0.30475103855133057,4.1544437408447266e-05,inf,0.7208943963050842,True
1,0.00017815828323364258,0.03834492340683937,0.28713399171829224,2.2232532501220703e-05,inf,0.3753925561904907,True
2,4.4226646423339844e-05,0.03799718990921974,0.29558712244033813,2.658367156982422e-05,inf,0.09318878501653671,False
3,3.1888484954833984e-05,0.03866918012499809,0.2966386079788208,3.522634506225586e-05,inf,0.06719137728214264,False
4,0.001867830753326416,0.04289580509066582,0.2658960819244385,0.0003000497817993164,inf,3.9356563091278076,True
5,1.5914440155029297e-05,0.03759809955954552,0.2922360301017761,0.00016373395919799805,inf,0.03353289142251015,False
6,0.00016200542449951172,0.0382370799779892,0.28779852390289307,2.0623207092285156e-05,inf,0.3413572907447815,True
7,0.0002471804618835449,0.04053306207060814,0.31049156188964844,8.821487426757812e-05,inf,0.5208273530006409,True
8,8.165836334228516e-06,0.038528528064489365,0.3026513457298279,1.895427703857422e-05,inf,0.017206015065312386,False
9,0.0004343986511230469,0.038115404546260834,0.2967813014984131,1.0192394256591797e-05,inf,0.9153097867965698,True
10,0.00016629695892333984,0.03849007561802864,0.28638142347335815,2.1159648895263672e-05,inf,0.3503998816013336,True
11,0.0005436539649963379,0.03909805044531822,0.2832258939743042,6.455183029174805e-05,inf,1.1455187797546387,True
12,0.0017102956771850586,0.04082544893026352,0.2783464193344116,0.00016862154006958008,inf,3.6037182807922363,True
13,0.0004611015319824219,0.037234388291835785,0.3111812472343445,2.7418136596679688e-05,inf,0.9715747237205505,True
14,0.00014722347259521484,0.03792252391576767,0.29247891902923584,0.00034183263778686523,inf,0.310210645198822,True
15,0.00013148784637451172,0.037582580000162125,0.3008790612220764,8.940696716308594e-06,inf,0.2770545184612274,True
16,0.0017424821853637695,0.0393601730465889,0.2952060103416443,3.629922866821289e-05,inf,3.6715376377105713,True
17,0.0003743171691894531,0.04042951390147209,0.29101961851119995,8.940696716308594e-06,inf,0.7887136936187744,True
18,0.00047892332077026367,0.03800043836236,0.2996511459350586,1.0192394256591797e-05,inf,1.0091265439987183,True
19,0.000302731990814209,0.04537951573729515,0.2736925482749939,0.0007573366165161133,inf,0.6378784775733948,True
20,7.37905502319336e-05,0.03760027512907982,0.29936057329177856,8.940696716308594e-06,inf,0.15548209846019745,False
21,0.00010496377944946289,0.037845179438591,0.295820951461792,4.488229751586914e-05,inf,0.22116637229919434,False
22,0.001238405704498291,0.03862876072525978,0.2968072295188904,7.033348083496094e-06,inf,2.6094114780426025,True
23,0.00017946958541870117,0.03797629103064537,0.2916686534881592,8.881092071533203e-06,inf,0.37815555930137634,True
24,0.0002741813659667969,0.037012528628110886,0.3367229104042053,0.0004888176918029785,inf,0.5777202248573303,True
25,0.001821756362915039,0.041459064930677414,0.2741406559944153,7.68899917602539e-05,inf,3.838574171066284,True
26,0.0003911256790161133,0.03888550400733948,0.30597829818725586,1.4185905456542969e-05,inf,0.8241304755210876,True
27,4.285573959350586e-05,0.03677269443869591,0.3161100745201111,9.08970832824707e-05,inf,0.09030018001794815,False
28,6.532669067382812e-05,0.040181081742048264,0.2692510485649109,9.840726852416992e-05,inf,0.13764812052249908,False
29,1.710653305053711e-05,0.03848729282617569,0.28372108936309814,2.3305416107177734e-05,inf,0.03604471683502197,False
30,0.0002943873405456543,0.036969803273677826,0.3107725977897644,1.239776611328125e-05,inf,0.6202957034111023,True
31,0.00019073486328125,0.03719241917133331,0.30220770835876465,4.3272972106933594e-05,inf,0.4018923342227936,True
32,0.0001404285430908203,0.03970597684383392,0.27322739362716675,4.589557647705078e-05,inf,0.29589322209358215,True
33,0.00020182132720947266,0.039217881858348846,0.28853046894073486,4.374980926513672e-05,inf,0.4252523183822632,True
34,0.00039327144622802734,0.03832016512751579,0.3009517788887024,1.811981201171875e-05,inf,0.8286517262458801,True
35,0.00013655424118041992,0.0372498594224453,0.3027472496032715,2.664327621459961e-05,inf,0.28772979974746704,True
36,0.0004957914352416992,0.03797910735011101,0.2959408164024353,2.8192996978759766e-05,inf,1.0446689128875732,True
37,8.404254913330078e-06,0.038334861397743225,0.3008653521537781,1.895427703857422e-05,inf,0.01770838163793087,False
38,0.0006931424140930176,0.03921351209282875,0.3067018389701843,4.708766937255859e-06,inf,1.4605019092559814,True
39,0.0015842914581298828,0.04104374721646309,0.3022659420967102,7.045269012451172e-05,inf,3.3382182121276855,True
40,0.0004966259002685547,0.03758769482374191,0.3072963356971741,2.7418136596679688e-05,inf,1.0464271306991577,True
41,4.6312808990478516e-05,0.03637927398085594,0.31118154525756836,0.0002071857452392578,inf,0.09758447855710983,False
42,0.0005138516426086426,0.03765246272087097,0.29990094900131226,2.8192996978759766e-05,inf,1.0827230215072632,True
43,0.0010120272636413574,0.04082058370113373,0.3029633164405823,7.045269012451172e-05,inf,2.132415533065796,True
44,0.00034940242767333984,0.04032617434859276,0.2882256507873535,8.940696716308594e-06,inf,0.7362165451049805,True
45,0.0007253885269165039,0.03877384960651398,0.297934889793396,6.16312026977539e-05,inf,1.5284467935562134,True
46,0.000280916690826416,0.0394553542137146,0.2768288254737854,4.589557647705078e-05,inf,0.591912031173706,True
47,0.0001671910285949707,0.03927968442440033,0.30156469345092773,3.743171691894531e-05,inf,0.3522837460041046,True
48,0.00034558773040771484,0.03808460757136345,0.3058428168296814,3.445148468017578e-05,inf,0.7281786799430847,True
49,0.0007890462875366211,0.03987445309758186,0.2846575975418091,6.288290023803711e-05,inf,1.6625783443450928,True
50,0.0017219781875610352,0.03826967254281044,0.30801719427108765,0.00016546249389648438,inf,3.6283342838287354,True
51,0.0003731846809387207,0.036974117159843445,0.3103404641151428,1.239776611328125e-05,inf,0.7863274812698364,True
52,4.476308822631836e-05,0.03914196044206619,0.2774255871772766,6.109476089477539e-05,inf,0.09431910514831543,False
53,6.377696990966797e-06,0.03834269940853119,0.3137986660003662,0.00015556812286376953,inf,0.013438275083899498,False
54,6.026029586791992e-05,0.038525138050317764,0.28452032804489136,2.3305416107177734e-05,inf,0.12697285413742065,False
55,0.0006481409072875977,0.04137296602129936,0.2888006567955017,3.3974647521972656e-05,inf,1.3656803369522095,True
56,6.973743438720703e-06,0.04127795994281769,0.27042698860168457,0.0003304481506347656,inf,0.014694188721477985,False
57,1.5497207641601562e-06,0.036434706300497055,0.3220537304878235,9.08970832824707e-05,inf,0.0032653752714395523,False
58,0.0006720423698425293,0.03868154063820839,0.2875167727470398,4.231929779052734e-06,inf,1.4160425662994385,True
59,0.0016734600067138672,0.04070725291967392,0.2781870365142822,7.68899917602539e-05,inf,3.5261027812957764,True
60,0.0011958479881286621,0.038241006433963776,0.2993188500404358,0.00022727251052856445,inf,2.5197393894195557,True
61,0.00039899349212646484,0.040124356746673584,0.29518502950668335,2.47955322265625e-05,inf,0.8407085537910461,True
62,0.0008488297462463379,0.0422302708029747,0.26060158014297485,0.0002314448356628418,inf,1.7885464429855347,True
63,0.00024121999740600586,0.038711369037628174,0.2846258878707886,2.1159648895263672e-05,inf,0.5082682371139526,True
64,0.0022488832473754883,0.04174155369400978,0.2829602360725403,0.00018161535263061523,inf,4.738561630249023,True
65,0.00016433000564575195,0.03822248429059982,0.28871452808380127,8.881092071533203e-06,inf,0.346255362033844,True
66,0.0005080699920654297,0.040361303836107254,0.3163989782333374,0.0001042485237121582,inf,1.0705406665802002,True
67,0.0001735091209411621,0.037949338555336,0.2988102436065674,4.488229751586914e-05,inf,0.3655964434146881,True
68,7.098913192749023e-05,0.037420064210891724,0.2970905900001526,5.620718002319336e-05,inf,0.14957930147647858,False
69,0.00017148256301879883,0.037702057510614395,0.29848653078079224,1.5914440155029297e-05,inf,0.36132633686065674,True
70,0.0002601146697998047,0.04059094190597534,0.2985460162162781,4.458427429199219e-05,inf,0.5480806827545166,True
71,0.0004531741142272949,0.03871966898441315,0.30297696590423584,1.4185905456542969e-05,inf,0.9548710584640503,True
72,0.0006909370422363281,0.03953062742948532,0.28001368045806885,0.00045174360275268555,inf,1.4558550119400024,True
73,0.0008345246315002441,0.04022233933210373,0.27421462535858154,0.00021398067474365234,inf,1.7584044933319092,True
74,7.18235969543457e-05,0.03927994519472122,0.2965760827064514,2.3543834686279297e-05,inf,0.15133757889270782,False
75,0.00012934207916259766,0.038926512002944946,0.2962883710861206,2.3543834686279297e-05,inf,0.27253323793411255,False
76,0.0007254481315612793,0.0388001948595047,0.2908249497413635,6.264448165893555e-05,inf,1.5285723209381104,True
77,5.125999450683594e-06,0.03761674091219902,0.3022083640098572,6.55055046081543e-05,inf,0.010800856165587902,False
78,0.0011958479881286621,0.038398947566747665,0.2991938591003418,7.033348083496094e-06,inf,2.5197393894195557,True
79,0.0005451440811157227,0.03919586166739464,0.3103792667388916,2.3424625396728516e-05,inf,1.1486585140228271,True
80,0.0007199645042419434,0.03901710361242294,0.30650222301483154,4.708766937255859e-06,inf,1.5170179605484009,True
81,9.250640869140625e-05,0.03851763531565666,0.28973740339279175,4.374980926513672e-05,inf,0.19491778314113617,False
82,6.753206253051758e-05,0.039013687521219254,0.29945671558380127,5.882978439331055e-05,inf,0.1422950029373169,False
83,9.97781753540039e-05,0.039051663130521774,0.2785731554031372,4.2498111724853516e-05,inf,0.2102399319410324,False
84,0.0002701878547668457,0.038600821048021317,0.28960347175598145,8.285045623779297e-05,inf,0.5693055987358093,True
85,0.0003154277801513672,0.03831331431865692,0.2902566194534302,1.1324882507324219e-05,inf,0.6646294593811035,True
86,0.00023001432418823242,0.03905690461397171,0.27915459871292114,4.2498111724853516e-05,inf,0.48465704917907715,True
87,0.000802457332611084,0.03768167644739151,0.3046334981918335,5.412101745605469e-05,inf,1.6908364295959473,True
88,0.00038927793502807617,0.03862733766436577,0.2874651551246643,1.1324882507324219e-05,inf,0.8202371597290039,True
89,6.4373016357421875e-06,0.03666432201862335,0.31028568744659424,0.0002071857452392578,inf,0.013563865795731544,False
90,0.0005667805671691895,0.037802938371896744,0.3096882700920105,3.24249267578125e-05,inf,1.1942481994628906,True
91,0.00021588802337646484,0.03723341226577759,0.2998628616333008,6.872415542602539e-05,inf,0.4548918902873993,True
92,0.0017691850662231445,0.03957047313451767,0.29147952795028687,3.629922866821289e-05,inf,3.7278025150299072,True
93,0.000809013843536377,0.03944296017289162,0.2907305955886841,6.264448165893555e-05,inf,1.7046514749526978,True
94,0.0006351470947265625,0.038775864988565445,0.28640860319137573,4.231929779052734e-06,inf,1.338301420211792,True
95,0.00020068883895874023,0.03847869113087654,0.2846482992172241,4.744529724121094e-05,inf,0.4228660762310028,True
96,0.0005786418914794922,0.037253450602293015,0.3165813684463501,4.1484832763671875e-05,inf,1.2192409038543701,True
97,9.78708267211914e-05,0.03632518649101257,0.31663745641708374,0.00014913082122802734,inf,0.20622099936008453,False
98,0.0008015036582946777,0.04193652421236038,0.28465837240219116,3.3974647521972656e-05,inf,1.6888269186019897,True
99,0.00018393993377685547,0.038065746426582336,0.2892252206802368,3.266334533691406e-05,inf,0.3875749111175537,True
