Method,num_nodes,num_edges,density,avg_degree,avg_clustering,modularity,avg_shortest_path_length,assortativity
AGN,1600,104136,0.08140712945590994,130.17,0.4595482271731221,0.7841493031580717,2.716260944340213,0.17366437477116958
Random,1600,99186,0.0775375234521576,123.9825,0.40986856644035624,0.7923352705362383,2.6962179487179485,-0.008974798463791357
Preferential,1600,99186,0.0775375234521576,123.9825,0.4106685388137912,0.7924369333710503,2.6975883364602877,-0.008174520736189095
kNN,1600,103736,0.08109443402126329,129.67,0.4530870033760207,0.7919564416789496,2.7102673545966227,0.32612561038328697
VanillaVGAE,1600,101698,0.07950125078173859,127.1225,0.4291919953465458,0.7865843037814946,2.678099593495935,0.5544685913381057
