Method,LinkPred_AUC,LinkPred_AP,NodeClass_Accuracy,NodeClass_F1,Community_NMI,Community_ARI
AGN,0.728630847808935,0.7399904749854684,0.1475,0.022961585896031988,0.020011392689645826,0.004891530248742236
Random,0.5227274418281654,0.49899212455972813,0.1475,0.022961585896031988,0.08814986287381124,0.018568166835326753
Preferential,0.5312951076631564,0.5024679485419161,0.1475,0.022961585896031988,0.07169169320070917,0.015367070734525465
kNN,0.72276295133438,0.7338389207924847,0.1475,0.022961585896031988,0.03920731470989226,0.009606083685732701
VanillaVGAE,0.6353270236995998,0.6456351075653224,0.1475,0.022961585896031988,0.047449726991738335,0.009678270050609969
