Method,LinkPred_AUC,LinkPred_AP,NodeClass_Accuracy,NodeClass_F1,Community_NMI,Community_ARI
AGN,0.9391168370609584,0.9029976048426706,0.5133333333333333,0.49925373509430493,1.0,1.0
Random,0.9357412522958477,0.8873189694489647,0.5133333333333333,0.49925373509430493,1.0,1.0
Preferential,0.9360154405467441,0.8902540500075222,0.5133333333333333,0.49925373509430493,1.0,1.0
kNN,0.9403583647968007,0.9046014341832662,0.5133333333333333,0.49925373509430493,1.0,1.0
VanillaVGAE,0.9366204457675413,0.8907524571628007,0.5133333333333333,0.49925373509430493,1.0,1.0
