Method,num_nodes,num_edges,density,avg_degree,avg_clustering,modularity,avg_shortest_path_length,assortativity
AGN,1300,101864,0.12064191389826494,156.71384615384616,0.24865199977767338,0.4381065080627369,1.9099899330846213,0.3820471809599217
Random,1300,96914,0.11477941611890803,149.09846153846155,0.19067426703032236,0.41106590283552885,1.9238005566412033,-0.006749412263107332
Preferential,1300,96914,0.11477941611890803,149.09846153846155,0.19121758352476873,0.411107538326931,1.9237685793805885,-0.013296055931889572
kNN,1300,101458,0.1201610706460591,156.08923076923077,0.23918183084930486,0.4406852313076062,1.9008456208918103,0.5169660178057375
VanillaVGAE,1300,99404,0.11772843015337242,152.92923076923077,0.21027527074413316,0.42681830499593076,1.9058992124119145,0.5821319257480055
