Method,LinkPred_AUC,LinkPred_AP,NodeClass_Accuracy,NodeClass_F1,Community_NMI,Community_ARI
AGN,0.7820742658956524,0.7572695805605476,0.49583333333333335,0.47210210210210213,0.997355857303624,0.9987505197483533
Random,0.7673797092089643,0.7201022803915746,0.49583333333333335,0.47210210210210213,1.0,1.0
Preferential,0.7682145981874915,0.7209736644907508,0.49583333333333335,0.47210210210210213,1.0,1.0
kNN,0.7775468277740142,0.7521358057868093,0.49583333333333335,0.47210210210210213,1.0,1.0
VanillaVGAE,0.770971928148367,0.7336890922812571,0.49583333333333335,0.47210210210210213,1.0,1.0
